title_clean,first_sentence
i love the zoo,roses are red
the scary forest,the forest is really haunted
nature nature and nature,look at the sun
jack,dog playful
when i awoke one morning,when i awoke one morning
ladybug,i saw a ladybug
how i eat hotdogs,almost every afternoon
lost in love,i'm here
teddy bear,taddy bear-taddy bear
hats,how i love to wear a hat
cat and rat,the cat chases a rat on a mat
happiness,happiness
graduation day,rose are red
jjjjduffyback,abcdefghi j-j-j-j-duffyback
cenical calupalarry,cenical calupalarry
a kid in a box,he loved that box
catty,catty catty
the cat in my clothes,the cat in my hat
gummy worms,almost every afternoon
kindness,always be kind
home alone sick,i'm coughing
my turkey,when i awoke one morning a turkey was on my head
alex pie,i like pie
dog on my head,when i awoke one morning a dog was on my head
big fat liar,hey
talking anamils,once ther was a talking rat i said hello
how i eat cookies,almost every afternoon
sharing,i don not like to share my favorite book
my sport,i walk on my hands instead of my feet
roses are red,roses are red
dancing,i hear music in my ears
natural affection,o virtuous 
a week of joy,monday is for meeting
theres a tiger on my head,when i awoke one night 
a spider is on my head,when i awoke one morning a spider was on my head
o god o god,o god o god you are my father
my day,when i woke from my sleep
my day,when i woke from my sleep
my day,when i woke from my sleep
spring comes,spring comes out and flowers open
hi,hello friend
a pen in the pen stand,a pen in the pen stand danced
role around,when i awake one morning and a ball was on my head
reading and math,i like to read garfield because it's funny
the most colorful rainbow,i saw the most colorful rainbow
the most colorful rainbow,the silliest sister i have the silliest sister
the man from peru,there once was a man from peru
my teacher,my is so lovely
hey,hey
spring,spring is fun in the sun
the instrument parade,a piano is something you play
handwriting,handwriting is the best subject
the fane,the fan makes wind when it goes round and round
all,i am very tall and like to have a ball
spring is fun,spring is fun
once again,once again i dont remember when i liked you
snow,oh how i miss the snow
lost,the night is black
ladybug,the bright red speck on the ocean of green
weird girl,ugly notsweet nothelpable notlikeable notloveable
bird,when i awoke one morning
moon,almost every afternoon
bird,when i awoke one morning
dearest mommy,dearest mommy i love very much
my big rock,gigantic rock
almost every morning,almost every morning
dogs,dogs are big
my angel my friend,oh friend 
christmas,christmas is the time of year
a head bed,when i awoke one mornning
the stomping mammoth,when i awoke one morning
pride of my college,o
the mat,there was a fat cat
new born,who am i? a mistake? yet here i am
summer,a warm summer day
kites,kites fly
sad,my nose is red
markers,my bright markers are tall and colerfol
white,the nebulous colour of clouds
butterfly,butterfly butterfly come here
hi,bye
the end of the world,the end of the world is here
my dog is a silly dog,my dog is a silly dog
the flowers bloom in the meadow,the flowers bloom in the meadow
rian,tip'tip'tip
the green frog,i saw a green frog
flowers,flowers are purple
springtime,springtime; i can tell it's here
barbeque chicken,in the morning in bed i eat bbq chicken
base ball,base ball is fun
the bugs,the bugs under the rugs
fox is eating nodls,theres a fox in a box and the fox is eating noodls
a elephant on my head,when i awoke one morning
fly high,i wish i could fly
brats,if you're a brat you will get so fat
moons,i love the moon
stars,sometimes i see very large stars
a fish on my head,when i awoke one morning
erosion,erosion is the loss of soil
cat,cats are fun aswome too cool 4 school
i heart my head,i heart my head so i went back to bed
dogs,dogs dogs thay are cute and fuzzy
mylovingmommy,my loving moommy is kind
bears,a bear plays in spring
i saw a dog,when i awoke one morning
the spider,when i awoke one morning a spider was on my head
killer wolf,the wolf is looking for you
kites,kites are colourful
the map,i went home and took a nap
froggy,when i awoke one morning a frog was on my head
raskel,who is jumpy? raskel
moms,who is the best? moms
chester,who is brown? chester
my cat,my cat is so brown
celene,my mom is wroking so hard for stuff for us
cookies,almost every night
cow,when i awoke one morning 
rat on a hat,hi my name is rat
at night,at night the owl flys
cat on my head,when i awoke one morning
friends,friends are the people
a big ball,i was playing with a big ball
bricks,bricks
mycat,my cat is nice my cat is cool my cat is black
my dad,my dad is fun my dad is nice my dad is the best
my dad,heisnice heiscooi heisthebest
i wonder,i wonder why clouds are white
tibby the tiger,tibby the tigerlives in the woods of asia
i have new shoes,i got new shoes
i love my mom,i love my mom alot
baseball,dad hits
a cat on my head,when i awoke one morning
a cat on my head,when i awoke one morning
poem 1,when i awoke one morning
the turkey and the bird,i saw a happy bird and he heard a brown turkey
friends,i have friends
dolphins,dolphins are good splashers
friends,a friend is a pal
ladybugs,ladybugs are red
santa claus,santa claus red suited
thanksgivingcinqain,thanksgiving appreciative
peanutbutter,almost every afternoon
family,i like being part of my family i like my mom
my friends,simon is my best friend
djm,i like hay but i like you better
mothers poem,i love my little chappy
i like popcorn,popcorn is white and yellow and buttery
mr meaner,mr
funny animals,cats and dogs can be funny
foods stuff,almost every afternoon
a dancing dog,there once was a dog
jack be nimble,jack be nimble
love,love is like a red
a bug in my bed,when i awoke one morning i saw a bug on the bed
earthquake,earthquake what and how is the worlds go
cat,the neighbors cat was chewing my mat
the readers diet,the reader had a problem
my little things,i have toy`s that can add like 1+1=2
dogs,who are good? dogs
lizerds,i like a lizerd
the game,one day i started to play a game
a chree pom,a three is happy
my crazy brother,my brother is crazy at night he falls of his bed
a kid in a box,a kid in a box that had a fox
animals,my favorite animal is a lamb
snake on my head,when i awoke one afternoon
apple,green apple red and blue 
the stairs of terror,the wooden knocking waited for me
my dog chester,who is the one who licks my face? chester
butterfly garden,here comes one butterfly
isolated and alone,on the way to college
i drew,i drew a dog it flew with the wind
my need to read,i need to read about a seed
snowflake,sweaters that keep you warm
when i woke up,one morning i had a frog on my head
bears,black bears eat a lot
the dog,there was a dog who had a frog
pokemon,pokemon can turn into many kinds of animals
the bird flew away,when i awoke one morning a bird was on my head
a dog was on my head,when i awoke one morning a dog was on my head
joe blue,joe blue
silver moonlight,i look up to see the stars
the snake,a snake
when is your birthday,when is your birthday? mine is in june
easter,it's easter
chicken,i like chicken
bees,busy bees
i eat strawberries,almost every afternoon
the frog and the hog,a frog sat on a log
the stork,when i awoke one morning
the ginger bread boy,he is brown and fast
snoop dog,snoop dog is a bosten tarrier 
the life and the world,the pleasure of soul is to remain here
hi,hockey is better than baseball
little stars,when i look out my door i see alot of little stars
winter is,winter looks very snowy
its halloween,you can see the bats
pizza,almost every night
pig,when i awoke one morning
banana,banana
go dogs go cats,go
dogs,i like dogs because they run and bark
mother,my life is you
basketball,basketball in the summer heat
roses are red,roses are red
parrotfish,i like parrotfish
i like dogs,i like dogs
butterfly,butterfly flitters in the sky
mouse in the house,there was a mouse
mothers words,a mothers words are seldom heard
almost every day,almost every afternoon i eat suckers with a fork
aliens a haiku,aliens are gross aliens investigate gooey aliens
i saw a bird,a bird came on my head and my sister said
good dog dont fly,super dog fly in the sky
the bird that frightened me,a bird that frightened me went by
my animals,i have a hog
murple purple,murple purple likes her dog to be called slurple
the sun,when the sun wakes up every else wakes up
pig,when i awoke one morning
pizza,almost every afternoon
bears,bears sleep in winter
mothers day,mommy
dogs and cats,dogs fast
the big cat,the big cat was really fat he had a little red hat
pop,pop pop pop i want a lolly pop
turtle in the sea,one summery day
foodfoodeveryday,almost every afternoon
that thing,oh dear
the star,there is a shining star
the ocean,the ocean is big
kid,kid kid
mathew grew bigger,mathew grew bigger and flew away
